"Sample_ID","Stemness_Score","Stemness_Group"
"TCGA-27-1832-01",2.34657533707801,"Low"
"TCGA-27-1831-01",2.69632194601654,"High"
"TCGA-28-5216-01",2.66851781223734,"High"
"TCGA-16-0846-01",2.53743806717618,"Low"
"TCGA-28-5218-01",2.31145555683484,"Low"
"TCGA-06-0178-01",2.77592477629066,"High"
"TCGA-06-0238-01",2.90354307809667,"High"
"TCGA-06-0125-01",2.60655643296755,"High"
"TCGA-06-0219-01",2.75258333853825,"High"
"TCGA-06-0125-02",2.36695888117558,"Low"
"TCGA-06-0174-01",2.92663132246732,"High"
"TCGA-28-1747-01",2.57265792796826,"High"
"TCGA-12-0616-01",2.88392398312942,"High"
"TCGA-06-5415-01",2.65835385460943,"High"
"TCGA-28-2499-01",2.34062168716854,"Low"
"TCGA-06-5411-01",2.73455579432892,"High"
"TCGA-06-0211-01",2.64762533187593,"High"
"TCGA-19-1787-01",2.73266099710324,"High"
"TCGA-27-1835-01",2.54124335938898,"Low"
"TCGA-28-5213-01",2.36590444489116,"Low"
"TCGA-06-2561-01",2.40055732792738,"Low"
"TCGA-14-2554-01",2.58598428647997,"High"
"TCGA-06-2563-01",2.62530558800996,"High"
"TCGA-41-3915-01",2.37226478390137,"Low"
"TCGA-76-4932-01",2.64487991052769,"High"
"TCGA-06-5412-01",2.38498382782779,"Low"
"TCGA-26-5135-01",2.51057377628666,"Low"
"TCGA-16-1045-01",2.26787669978033,"Low"
"TCGA-06-0141-01",2.30928575215408,"Low"
"TCGA-06-2557-01",2.52307865320836,"Low"
"TCGA-06-0157-01",2.6631165475304,"High"
"TCGA-28-1753-01",2.57942445778548,"High"
"TCGA-26-5139-01",2.49257632731472,"Low"
"TCGA-26-5136-01",2.56011514652455,"Low"
"TCGA-28-2509-01",2.56443359295219,"Low"
"TCGA-06-0168-01",2.52421369697257,"Low"
"TCGA-76-4928-01",2.50481277713212,"Low"
"TCGA-32-5222-01",2.78594230715135,"High"
"TCGA-12-1597-01",2.79903052510143,"High"
"TCGA-06-2567-01",2.56067568717407,"Low"
"TCGA-27-2526-01",2.57982242386652,"High"
"TCGA-28-2513-01",2.21320593112445,"Low"
"TCGA-32-2615-01",2.30329308701003,"Low"
"TCGA-19-1389-02",2.29695916537032,"Low"
"TCGA-27-1834-01",2.35908974904005,"Low"
"TCGA-14-0787-01",2.59988827935018,"High"
"TCGA-06-5418-01",2.45600868571896,"Low"
"TCGA-12-5295-01",2.65922996056983,"High"
"TCGA-12-3650-01",2.88100992096832,"High"
"TCGA-06-0681-11",2.46994943696565,"Low"
"TCGA-28-5220-01",2.61810193989671,"High"
"TCGA-06-0190-01",2.38246241589348,"Low"
"TCGA-02-2483-01",3.00926731603711,"High"
"TCGA-06-5417-01",2.89627943858485,"High"
"TCGA-14-1825-01",2.94725785865009,"High"
"TCGA-12-0618-01",2.82453919485876,"High"
"TCGA-06-5413-01",2.83720962719022,"High"
"TCGA-32-2616-01",2.6119872617239,"High"
"TCGA-12-0821-01",2.76789886460303,"High"
"TCGA-06-0158-01",2.38820955847879,"Low"
"TCGA-06-AABW-11",2.41251098557433,"Low"
"TCGA-12-3653-01",2.57150934091371,"High"
"TCGA-27-2523-01",2.78013671074816,"High"
"TCGA-27-2524-01",2.66372273397414,"High"
"TCGA-76-4929-01",2.46154450962228,"Low"
"TCGA-14-0817-01",2.62915985037229,"High"
"TCGA-26-5134-01",2.73654321074771,"High"
"TCGA-19-5960-01",2.93210573156415,"High"
"TCGA-28-5215-01",2.69329032781899,"High"
"TCGA-19-2619-01",2.59858879926602,"High"
"TCGA-14-1034-01",2.52049315223373,"Low"
"TCGA-14-1034-02",2.76774835572534,"High"
"TCGA-15-1444-01",2.57793152884735,"High"
"TCGA-06-5856-01",2.74473105774951,"High"
"TCGA-32-4213-01",2.52811624127787,"Low"
"TCGA-06-0646-01",2.50335479163473,"Low"
"TCGA-19-2620-01",2.35658258845858,"Low"
"TCGA-06-0138-01",2.56382352454624,"Low"
"TCGA-41-4097-01",2.22534390767655,"Low"
"TCGA-28-5204-01",2.69545041279171,"High"
"TCGA-32-2634-01",2.94609221741822,"High"
"TCGA-76-4926-01",2.57558396307635,"High"
"TCGA-32-1970-01",2.59168740994156,"High"
"TCGA-06-0152-02",2.55962112373168,"Low"
"TCGA-15-0742-01",2.66999005058102,"High"
"TCGA-06-0645-01",2.36474575241077,"Low"
"TCGA-27-2528-01",2.67435053562393,"High"
"TCGA-14-0789-01",2.19048766078317,"Low"
"TCGA-08-0386-01",2.66811782934181,"High"
"TCGA-76-4931-01",2.68295004877185,"High"
"TCGA-27-1830-01",2.41263411930184,"Low"
"TCGA-06-0184-01",2.36313243799132,"Low"
"TCGA-12-3652-01",2.64525617866438,"High"
"TCGA-06-0187-01",2.43969657134163,"Low"
"TCGA-14-1823-01",2.49713395863454,"Low"
"TCGA-02-2486-01",2.22706397925659,"Low"
"TCGA-19-1390-01",2.74667731261758,"High"
"TCGA-06-0221-02",2.87149879683384,"High"
"TCGA-32-1980-01",2.38024980360305,"Low"
"TCGA-06-0747-01",2.48602230161125,"Low"
"TCGA-06-0156-01",2.62707359428445,"High"
"TCGA-06-0649-01",2.28385155327454,"Low"
"TCGA-28-5209-01",2.72710224557677,"High"
"TCGA-28-5208-01",2.80546553906385,"High"
"TCGA-06-0686-01",2.78148271869952,"High"
"TCGA-76-4927-01",2.56479560624107,"High"
"TCGA-28-5207-01",2.66179434647209,"High"
"TCGA-06-0171-02",2.02751704717716,"Low"
"TCGA-06-2558-01",2.81353943728848,"High"
"TCGA-14-1402-02",2.69893656993402,"High"
"TCGA-06-0644-01",2.4282312788304,"Low"
"TCGA-06-2562-01",2.43525730653693,"Low"
"TCGA-06-2570-01",2.67574663477037,"High"
"TCGA-06-2559-01",2.8034314362412,"High"
"TCGA-26-5132-01",2.49130310835616,"Low"
"TCGA-12-5299-01",2.63121958629652,"High"
"TCGA-06-0743-01",2.31881375583189,"Low"
"TCGA-06-0680-11",2.5102488006527,"Low"
"TCGA-41-2572-01",2.44404147011388,"Low"
"TCGA-06-0744-01",2.61899411031597,"High"
"TCGA-06-0130-01",2.24271757134828,"Low"
"TCGA-06-0749-01",2.29793579025621,"Low"
"TCGA-06-1804-01",2.36709078332072,"Low"
